match_id,home_team,away_team,home_xg_for_last_10,home_xg_against_last_10,away_xg_for_last_10,away_xg_against_last_10,home_shot_npxg_for_last_10,away_shot_npxg_for_last_10,home_shot_big_chances_for_last_10,away_shot_big_chances_for_last_10,home_ppda_for_last_10,away_ppda_for_last_10,home_finishing_over_xg_last_10,away_finishing_over_xg_last_10,home_attack_vs_away_defense_xg_last_10,away_attack_vs_home_defense_xg_last_10,xg_net_diff_last_10,shot_npxg_diff_last_10,big_chances_diff_last_10,pressing_diff_last_10,finishing_diff_last_10,h_goals,a_goals
28823,Bournemouth,Newcastle United,1.613245,0.499145,0.8523075,0.4979505,1.2326647061854596,0.8523080486338581,1.5,1.0,8.35665,8.6607,-0.11324500000000004,-0.8523075,1.1152945,0.3531625,0.7597430000000001,0.38035665755160153,0.5,0.30405000000000015,0.7390625,0,0
28824,Manchester United,Chelsea,2.6994499999999997,1.32829,2.3529845,1.076951,2.3244950212538233,2.366107375361025,2.0,3.5,11.5433,8.57715,-1.1994499999999997,1.1470155,1.6224989999999997,1.0246944999999998,0.09512649999999989,-0.041612354107201543,-1.5,-2.9661500000000007,-2.3464655,2,1
28825,Fulham,Brentford,1.39656,1.1882139999999999,1.3856,1.663385,1.401316808070987,0.62905740737915,2.0,1.5,9.6937,15.6845,-0.39656,-0.38559999999999994,-0.26682499999999987,0.19738600000000006,0.4861310000000001,0.7722594006918371,0.5,5.9908,-0.01096000000000008,3,1
28826,Sunderland,Aston Villa,1.147819,1.002494,0.6655895000000001,1.51117,0.7681543510407205,0.6673185713589186,1.0,0.0,12.98495,6.8901,1.3521809999999999,-0.6655895000000001,-0.363351,-0.33690449999999994,0.9909055,0.10083577968180191,1.0,-6.094849999999999,2.0177705,1,1
28827,Arsenal,Manchester City,2.8096550000000002,0.225221,2.2166050000000004,1.3640379999999999,2.443789847195148,2.2200505216605957,3.0,2.0,9.45225,11.86665,1.190345,0.28339499999999984,1.4456170000000004,1.9913840000000005,1.7318669999999998,0.22373932553455234,1.0,2.4144000000000005,0.9069500000000001,1,1
28828,Brentford,Manchester United,1.152485,0.8664255000000001,1.53259,1.8252899999999999,1.2759357905015347,1.1682416331022973,1.5,1.5,15.4866,10.05985,0.347515,-1.03259,-0.6728049999999999,0.6661644999999998,0.5787594999999999,0.10769415739923738,0.0,-5.426749999999998,1.380105,3,1
28829,Chelsea,Brighton,1.9001649999999999,0.885184,1.3548965,1.621515,1.5239060097374015,0.9743127943947907,2.0,1.5,7.5948,8.68995,-0.900165,-0.8548965,0.27864999999999984,0.4697125,1.2815995,0.5495932153426109,0.5,1.0951499999999994,-0.045268500000000045,1,3
28830,Crystal Palace,Liverpool,1.429965,0.8419995,1.7207394999999999,1.0657305,1.4520730637013908,1.3416941394098099,2.0,1.5,13.1691,5.85715,-0.9299649999999999,0.27926050000000013,0.3642345,0.8787399999999999,-0.06704350000000003,0.11037892429158092,0.5,-7.31195,-1.2092255,2,1
28831,Aston Villa,Fulham,0.7622305,1.9990549999999998,0.8195555,1.93624,0.7731788326054809,0.8264573761261995,0.5,0.5,14.74405,13.53705,-0.7622305,-0.3195555,-1.1740095,-1.1794995,-0.12014000000000014,-0.05327854352071859,0.0,-1.206999999999999,-0.44267500000000004,3,1
28832,Leeds,Bournemouth,1.5292500000000002,0.4889865,1.846565,1.25037,1.1508784284815188,1.848301078192889,1.5,3.0,15.275549999999999,9.364799999999999,-1.0292500000000002,-0.3465649999999999,0.27888000000000024,1.3575785,0.4440685000000001,-0.6974226497113702,-1.5,-5.91075,-0.6826850000000003,2,2
28833,Manchester City,Burnley,1.622375,1.3996499999999998,1.0301589999999998,3.000475,1.6302857343107457,1.063233693130314,2.0,1.0,14.829350000000002,16.676450000000003,-0.12237500000000001,-0.030158999999999936,-1.3780999999999999,-0.369491,2.193041,0.5670520411804318,1.0,1.847100000000001,-0.09221600000000008,5,1
28834,Nottingham Forest,Sunderland,1.235759,1.78058,0.7376995,1.38093,1.2365328334271903,0.7376995431259271,2.0,1.0,10.49455,19.18055,0.26424099999999995,-0.7376995,-0.14517099999999994,-1.0428805,0.09840950000000004,0.4988332903012632,1.0,8.686,1.0019405,0,1
28835,Tottenham,Wolverhampton Wanderers,1.074625,1.4271189999999998,0.3746545,1.48824,1.1048135957680636,0.3746545016765591,1.0,0.0,5.7764500000000005,9.73515,0.425375,-0.3746545,-0.41361500000000007,-1.0524644999999997,0.7610915000000001,0.7301590940915045,1.0,3.9587000000000003,0.8000295,1,1
28836,Newcastle United,Arsenal,1.57764,0.5112505,0.9080395,0.928967,1.5782376020215445,0.910531685687601,2.5,0.5,11.304,12.065249999999999,-0.07763999999999993,-0.4080395,0.6486729999999999,0.39678899999999995,1.0873169999999999,0.6677059163339435,2.0,0.7612499999999986,0.33039950000000007,1,2
28837,Everton,West Ham,1.84693,1.2195985,1.397474,0.7201930000000001,1.8557320837862785,1.01688781986013,2.0,1.5,12.39,16.23075,-0.8469300000000001,0.1025259999999999,1.1267369999999999,0.17787550000000008,-0.04994949999999998,0.8388442639261484,0.5,3.84075,-0.949456,1,1
28838,Bournemouth,Fulham,1.25905,0.38397299999999995,0.8639076666666666,1.7460766666666665,1.0053298839678362,0.8685089057932295,1.0,0.6666666666666666,8.358966666666666,13.635800000000001,-0.25905000000000006,-0.197241,-0.4870266666666665,0.4799346666666667,1.7572459999999999,0.1368209781746067,0.33333333333333337,5.276833333333336,-0.06180900000000006,3,1
28839,Arsenal,West Ham,2.1126283333333333,0.5243806666666667,1.1902380000000001,0.783363,1.8687183285752926,0.9365138694023086,2.0,1.0,8.574233333333334,15.320500000000001,0.8873716666666667,0.14309533333333327,1.3292653333333333,0.6658573333333334,1.1813726666666666,0.932204459172984,1.0,6.746266666666667,0.7442763333333334,2,0
28840,Aston Villa,Burnley,0.9634036666666667,1.6502406666666667,0.8566029999999999,3.0740933333333333,0.9707015998040633,0.8800045202175771,0.6666666666666666,0.6666666666666666,15.615066666666666,16.8468,0.03659633333333331,0.14339700000000002,-2.1106896666666666,-0.7936376666666668,1.5306533333333334,0.0906970795864862,0.0,1.2317333333333362,-0.10680066666666671,2,1
28841,Brentford,Manchester City,1.6974099999999999,1.3229803333333334,1.8519700000000003,1.1488836666666666,1.7797120443234842,1.8542661384368933,2.6666666666666665,2.0,14.231066666666665,13.577766666666667,0.3025900000000001,0.14802999999999988,0.5485263333333332,0.5289896666666669,-0.328656666666667,-0.07455409411340908,0.6666666666666665,-0.653299999999998,0.1545600000000002,0,1
